Block_Group,FIPS_Code,Formatted_FIPS,Probability that two individuals chosen at random would be of di
"421019809001, PA",421019809001,421019809001,N/A
"421019800001, PA",421019800001,421019800001,68.71
"421010050001, PA",421010050001,421010050001,N/A
"421019807001, PA",421019807001,421019807001,N/A
"421019803001, PA",421019803001,421019803001,N/A
"421019801001, PA",421019801001,421019801001,0
"421019802001, PA",421019802001,421019802001,28.74
"421010378002, PA",421010378002,421010378002,31.03
"421010364001, PA",421010364001,421010364001,53.14
"421019891001, PA",421019891001,421019891001,50.45
"421010386001, PA",421010386001,421010386001,35.24
"421010381002, PA",421010381002,421010381002,29.12
"421010220001, PA",421010220001,421010220001,45.46
"421019804001, PA",421019804001,421019804001,N/A
"421010383001, PA",421010383001,421010383001,50.7
"421010366001, PA",421010366001,421010366001,52.32
"421010054001, PA",421010054001,421010054001,42.05
"421019808001, PA",421019808001,421019808001,N/A
"421010360001, PA",421010360001,421010360001,60.1
"421010363011, PA",421010363011,421010363011,9.38
"421010384001, PA",421010384001,421010384001,33.54
"421010346001, PA",421010346001,421010346001,69.42
"421010184002, PA",421010184002,421010184002,13.71
"421010387002, PA",421010387002,421010387002,39.61
"421010381001, PA",421010381001,421010381001,53.63
"421010363031, PA",421010363031,421010363031,9.74
"421010216002, PA",421010216002,421010216002,48.93
"421010373003, PA",421010373003,421010373003,69.14
"421010359002, PA",421010359002,421010359002,41.39
"421010219001, PA",421010219001,421010219001,25.27
"421010390001, PA",421010390001,421010390001,60.44
"421010206001, PA",421010206001,421010206001,67.2
"421010292002, PA",421010292002,421010292002,68.5
"421019806001, PA",421019806001,421019806001,N/A
"421010357021, PA",421010357021,421010357021,53.73
"421010351002, PA",421010351002,421010351002,17.34
"421010353022, PA",421010353022,421010353022,30.16
"421010369002, PA",421010369002,421010369002,43.81
"421010344004, PA",421010344004,421010344004,52.41
"421010344003, PA",421010344003,421010344003,23.66
"421010183001, PA",421010183001,421010183001,3.93
"421010352001, PA",421010352001,421010352001,25.53
"421010355003, PA",421010355003,421010355003,50.56
"421010382003, PA",421010382003,421010382003,65.85
"421010349001, PA",421010349001,421010349001,75.31
"421010365022, PA",421010365022,421010365022,26.78
"421010142002, PA",421010142002,421010142002,47.06
"421010385002, PA",421010385002,421010385002,33.96
"421010205001, PA",421010205001,421010205001,8.26
"421010365011, PA",421010365011,421010365011,38.98
"421010358001, PA",421010358001,421010358001,54.95
"421010038002, PA",421010038002,421010038002,16.15
"421010356022, PA",421010356022,421010356022,57.05
"421010356011, PA",421010356011,421010356011,50.99
"421010362033, PA",421010362033,421010362033,10.88
"421010056001, PA",421010056001,421010056001,25.61
"421010342002, PA",421010342002,421010342002,42.27
"421010388001, PA",421010388001,421010388001,55.57
"421010379003, PA",421010379003,421010379003,18.57
"421010359001, PA",421010359001,421010359001,31.47
"421010235001, PA",421010235001,421010235001,56.48
"421010373002, PA",421010373002,421010373002,17.6
"421010173002, PA",421010173002,421010173002,15.87
"421010143001, PA",421010143001,421010143001,23.8
"421010389001, PA",421010389001,421010389001,36.95
"421010291001, PA",421010291001,421010291001,69.17
"421010279022, PA",421010279022,421010279022,63.94
